Model Index;CP Tag;Type;Dataset;Phase
1;CP198;MP;CLSAUX;PH1
1;CP199;MP;CLSAUX;PH2
1;CP200;MP;CLSAUX;PH3
2;CP180;MP;CLSAUX;PH1
2;CP181;MP;CLSAUX;PH2
2;CP182;MP;CLSAUX;PH3
3;CP168;MP;CLSAUX;PH1
3;CP170;MP;CLSAUX;PH2
3;CP171;MP;CLSAUX;PH3
4;CP211;MP;CLSAUX;PH1
4;CP212;MP;CLSAUX;PH2
4;CP213;MP;CLSAUX;PH3
5;CP195;MP;CLSAUX;PH1
5;CP196;MP;CLSAUX;PH2
5;CP197;MP;CLSAUX;PH3
6;CP177;MP;CLSAUX;PH1
6;CP183;MP;CLSAUX;PH2
6;CP184;MP;CLSAUX;PH3
7;CP192;MP;CLSAUX;PH1
7;CP193;MP;CLSAUX;PH2
7;CP194;MP;CLSAUX;PH3
