Model Index;CP Tag;Type;Dataset;Phase
1;CP458;MP;HYB;PH1
1;CP537;MP;HYB;PH2
1;CP538;MP;HYB;PH3
2;CP454;MP;HYB;PH1
2;CP512;MP;HYB;PH2
2;CP513;MP;HYB;PH3
3;CP553;MP;HYB;PH1
3;CP560;MP;HYB;PH2
3;CP561;MP;HYB;PH3
4;CP556;MP;HYB;PH1
4;CP564;MP;HYB;PH2
4;CP565;MP;HYB;PH3
5;CP501;MP;HYB;PH1
5;CP514;MP;HYB;PH2
5;CP515;MP;HYB;PH3
6;CP555;MP;HYB;PH1
6;CP562;MP;HYB;PH2
6;CP563;MP;HYB;PH3
7;CP459;MP;HYB;PH1
7;CP510;MP;HYB;PH2
7;CP511;MP;HYB;PH3
8;CP552;MP;HYB;PH1
8;CP558;MP;HYB;PH2
8;CP559;MP;HYB;PH3
9;CP466;MP;HYB;PH1
9;CP539;MP;HYB;PH2
9;CP540;MP;HYB;PH3
10;CP557;MP;HYB;PH1
10;CP566;MP;HYB;PH2
10;CP567;MP;HYB;PH3
11;CP455;MP;HYB;PH1
11;CP535;MP;HYB;PH2
11;CP536;MP;HYB;PH3
12;CP546;MP;HYB;PH1
12;CP547;MP;HYB;PH2
12;CP548;MP;HYB;PH3
13;CP549;MP;HYB;PH1
13;CP550;MP;HYB;PH2
13;CP551;MP;HYB;PH3
